price,date
1147079,2020-10-14 00:00:00
1147024,2020-10-14 00:00:00
2170000,2020-10-14 00:00:00
1146808,2020-10-14 00:00:00
2150000,2020-10-14 00:00:00
1087791,2020-10-14 00:00:00
2180000,2020-10-14 00:00:00
35000,2020-10-14 00:00:00
2022613,2020-10-14 00:00:00
2030000,2020-10-14 00:00:00
1139090,2020-10-14 00:00:00
1029597,2020-10-14 00:00:00
970000,2020-10-14 00:00:00
1100000,2020-10-14 00:00:00
1990000,2020-10-14 00:00:00
2015000,2020-10-14 00:00:00
1690000,2020-10-14 00:00:00
950000,2020-10-14 00:00:00
1450000,2020-10-14 00:00:00
885000,2020-10-14 00:00:00
1650000,2020-10-14 00:00:00
1006746,2020-10-14 00:00:00
1460000,2020-10-14 00:00:00
1450000,2020-10-14 00:00:00
1670000,2020-10-14 00:00:00
1560000,2020-10-14 00:00:00
1490000,2020-10-14 00:00:00
1510000,2020-10-14 00:00:00
1590000,2020-10-14 00:00:00
1550000,2020-10-14 00:00:00
1200000,2020-10-14 00:00:00
1354299,2020-10-14 00:00:00
1300000,2020-10-14 00:00:00
850000,2020-07-10 00:00:00
637603,2020-07-11 00:00:00
800000,2020-07-11 00:00:00
3035000,2020-10-17 00:00:00
7460185,2020-10-18 00:00:00
3950000,2020-10-18 00:00:00
3400000,2020-10-18 00:00:00
3500000,2020-10-18 00:00:00
2950000,2020-10-18 00:00:00
3343711,2020-10-18 00:00:00
3750000,2020-10-18 00:00:00
550000,2020-10-18 00:00:00
191385,2020-10-18 00:00:00
2850000,2020-10-18 00:00:00
2950000,2020-10-18 00:00:00
650000,2020-10-18 00:00:00
910000,2020-10-18 00:00:00
910000,2020-10-18 00:00:00
970000,2020-10-18 00:00:00
72001,2020-10-18 00:00:00
114483,2020-10-18 00:00:00
46872,2020-10-18 00:00:00
507000,2020-10-18 00:00:00
1860000,2020-10-18 00:00:00
370000,2020-10-18 00:00:00
570000,2020-10-18 00:00:00
2320000,2020-10-18 00:00:00
2320000,2020-10-18 00:00:00
1800000,2020-10-18 00:00:00
1760000,2020-10-18 00:00:00
800000,2020-10-18 00:00:00
700000,2020-10-18 00:00:00
1295000,2020-10-18 00:00:00
1370000,2020-10-18 00:00:00
1348000,2020-10-18 00:00:00
1405000,2020-10-18 00:00:00
1370379,2020-10-18 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
86923,2020-07-15 00:00:00
110000,2020-07-15 00:00:00
852352,2020-07-15 00:00:00
750128,2020-07-15 00:00:00
2050000,2020-07-15 00:00:00
160000,2020-07-15 00:00:00
812954,2020-07-15 00:00:00
643665,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
681461,2020-07-15 00:00:00
1650000,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
1700000,2020-07-15 00:00:00
657519,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
1940000,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
657519,2020-07-15 00:00:00
1320000,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
646551,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
654056,2020-07-15 00:00:00
637603,2020-07-15 00:00:00
643665,2020-07-15 00:00:00
646551,2020-07-15 00:00:00
657519,2020-07-15 00:00:00
380000,2020-02-01 00:00:00
3610000,2020-02-03 00:00:00
5760000,2020-02-03 00:00:00
276808,2020-02-03 00:00:00
960000,2020-02-03 00:00:00
135891,2020-02-03 00:00:00
3867813,2020-02-03 00:00:00
477360,2020-02-03 00:00:00
775000,2020-02-03 00:00:00
769158,2020-02-03 00:00:00
650000,2020-02-03 00:00:00
1300000,2020-02-03 00:00:00
1120000,2020-02-03 00:00:00
1485000,2020-02-03 00:00:00
1600000,2020-02-03 00:00:00
4120000,2020-07-17 00:00:00
5000000,2020-07-17 00:00:00
6686550,2020-10-20 00:00:00
362760,2020-10-20 00:00:00
3800000,2020-10-20 00:00:00
443532,2020-10-20 00:00:00
350000,2020-10-20 00:00:00
700000,2020-10-20 00:00:00
725625,2020-10-20 00:00:00
720000,2020-10-20 00:00:00
2330000,2020-10-20 00:00:00
2400000,2020-10-20 00:00:00
2400000,2020-10-20 00:00:00
550000,2020-10-20 00:00:00
520000,2020-10-20 00:00:00
1067977,2020-10-20 00:00:00
1620000,2020-10-20 00:00:00
1609390,2020-10-20 00:00:00
870000,2020-10-20 00:00:00
750000,2020-10-20 00:00:00
760479,2020-10-20 00:00:00
712000,2020-10-20 00:00:00
1715000,2020-10-20 00:00:00
1850000,2020-10-20 00:00:00
2800000,2020-10-20 00:00:00
2375000,2020-10-20 00:00:00
2270000,2020-10-20 00:00:00
800000,2020-10-20 00:00:00
170000,2020-10-20 00:00:00
1445181,2020-10-20 00:00:00
1427408,2020-10-20 00:00:00
60643,2020-10-20 00:00:00
269392,2020-10-20 00:00:00
1250000,2020-10-20 00:00:00
1222787,2020-10-20 00:00:00
1413610,2020-10-20 00:00:00
1419771,2020-10-20 00:00:00
1419771,2020-10-20 00:00:00
4220000,2020-10-20 00:00:00
1073213,2020-10-20 00:00:00
2095000,2020-02-04 00:00:00
3296640,2020-07-19 00:00:00
335000,2020-07-19 00:00:00
420000,2020-07-19 00:00:00
510000,2020-07-19 00:00:00
1120000,2020-07-19 00:00:00
1085000,2020-07-19 00:00:00
735000,2020-07-19 00:00:00
964503,2020-07-19 00:00:00
870000,2020-07-19 00:00:00
1340000,2020-07-19 00:00:00
1404000,2020-07-19 00:00:00
1300000,2020-07-19 00:00:00
1700000,2020-07-19 00:00:00
1680000,2020-07-19 00:00:00
1625000,2020-07-19 00:00:00
7250000,2020-10-21 00:00:00
3175000,2020-10-21 00:00:00
117687,2020-10-21 00:00:00
1727848,2020-10-21 00:00:00
1900000,2020-10-21 00:00:00
1590000,2020-10-21 00:00:00
1530000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
4200000,2020-10-21 00:00:00
3620000,2020-10-21 00:00:00
2369977,2020-10-21 00:00:00
3000000,2020-10-21 00:00:00
3700000,2020-10-21 00:00:00
500762,2020-10-21 00:00:00
825000,2020-10-21 00:00:00
1200000,2020-10-21 00:00:00
69585,2020-10-21 00:00:00
1180000,2020-10-21 00:00:00
2575000,2020-10-21 00:00:00
2390000,2020-10-21 00:00:00
2323407,2020-10-21 00:00:00
2690000,2020-10-21 00:00:00
2265000,2020-10-21 00:00:00
1000000,2020-10-21 00:00:00
2050000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1404672,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1570000,2020-10-21 00:00:00
1611654,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1600000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1550000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1150000,2020-10-21 00:00:00
1069341,2020-10-21 00:00:00
1275000,2020-10-21 00:00:00
1028035,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1426367,2020-10-21 00:00:00
1445181,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1418500,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
229729,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1945000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
2040000,2020-10-21 00:00:00
1845000,2020-10-21 00:00:00
1720000,2020-10-21 00:00:00
2150000,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
229599,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1850000,2020-10-21 00:00:00
2218925,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
20523,2020-10-21 00:00:00
1419771,2020-10-21 00:00:00
925133,2020-10-21 00:00:00
1421523,2020-10-21 00:00:00
1424761,2020-10-21 00:00:00
1219928,2020-10-21 00:00:00
1320000,2020-10-21 00:00:00
1245631,2020-10-21 00:00:00
1222787,2020-10-21 00:00:00
907179,2020-10-21 00:00:00
907179,2020-10-21 00:00:00
750000,2020-10-21 00:00:00
860000,2020-10-21 00:00:00
2860000,2020-10-23 00:00:00
2850000,2020-10-23 00:00:00
2505850,2020-10-23 00:00:00
1850000,2020-10-23 00:00:00
2700000,2020-10-23 00:00:00
970000,2020-10-23 00:00:00
1570000,2020-10-23 00:00:00
430000,2020-10-23 00:00:00
325000,2020-10-23 00:00:00
88192,2020-10-23 00:00:00
1300000,2020-10-23 00:00:00
1120000,2020-10-23 00:00:00
1130000,2020-10-23 00:00:00
3690001,2020-02-07 00:00:00
730000,2020-02-07 00:00:00
860000,2020-10-24 00:00:00
3155896,2020-10-25 00:00:00
530000,2020-10-25 00:00:00
3860440,2020-10-25 00:00:00
590000,2020-10-25 00:00:00
3925000,2020-10-25 00:00:00
3429000,2020-10-25 00:00:00
4900000,2020-10-25 00:00:00
4180000,2020-10-25 00:00:00
3550000,2020-10-25 00:00:00
3450000,2020-10-25 00:00:00
3375000,2020-10-25 00:00:00
3450000,2020-10-25 00:00:00
590000,2020-10-25 00:00:00
1650000,2020-10-25 00:00:00
550000,2020-10-25 00:00:00
500000,2020-10-25 00:00:00
1840000,2020-10-25 00:00:00
870000,2020-10-25 00:00:00
333812,2020-10-25 00:00:00
425000,2020-10-25 00:00:00
425000,2020-10-25 00:00:00
1494102,2020-10-25 00:00:00
1300000,2020-10-25 00:00:00
1300000,2020-10-25 00:00:00
1400000,2020-10-25 00:00:00
955508,2020-10-25 00:00:00
830000,2020-10-25 00:00:00
830000,2020-10-25 00:00:00
2470000,2020-10-25 00:00:00
1150000,2020-10-25 00:00:00
