,model_type,loss,hit_rate_mean,ncdg_mean,loss,mrr_5_mean,mrr_10_mean,epoch,revenue_mean
13,model_MF,0.4396570920944214,0.6306291390728477,0.36047276414011076,0.4396570920944214,0.2535540838852097,0.2775595238095238,14,0.8399006622516556
14,model_MF,0.4427950382232666,0.6230132450331126,0.3562286285123389,0.4427950382232666,0.24975165562913906,0.27440371071165776,15,0.8327814569536424
15,model_MF,0.4442219138145447,0.623841059602649,0.35604243053802853,0.4442219138145447,0.2504497792494481,0.27379526700304846,16,0.8225165562913908
16,model_MF,0.4459023177623749,0.6251655629139072,0.35666082848065284,0.4459023177623749,0.250333885209713,0.2744456927362557,17,0.8584437086092715
17,model_MF,0.4474596381187439,0.6206953642384105,0.3540741924498464,0.4474596381187439,0.24876103752759382,0.2723367365710081,18,0.8279801324503311
18,model_MF,0.4488144814968109,0.6218543046357616,0.3517616645239077,0.4488144814968109,0.24547461368653423,0.26881241459056027,19,0.7981788079470199
19,model_MF,0.4498843252658844,0.6228476821192053,0.35479905742099943,0.4498843252658844,0.24863134657836644,0.2724834437086093,20,0.7768211920529802
20,model_MF_with_weight,0.00023618208069819957,0.4332781456953642,0.2364918367734424,0.00023618208069819957,0.15766832229580574,0.17669123830547673,1,0.6327814569536424
21,model_MF_with_weight,9.973920532502234e-05,0.4912251655629139,0.2732813860355061,9.973920532502234e-05,0.18647626931567327,0.20684977136549984,2,0.687748344370861
22,model_MF_with_weight,9.285696432925761e-05,0.5514900662251656,0.3069008977408411,9.285696432925761e-05,0.20867825607064014,0.2323450147167035,3,0.8423841059602649
23,model_MF_with_weight,9.135236905422062e-05,0.5817880794701987,0.33028282551042903,9.135236905422062e-05,0.2299917218543046,0.25340323767476086,4,0.8758278145695364
24,model_MF_with_weight,9.099232556764036e-05,0.6043046357615894,0.345428140686315,9.099232556764036e-05,0.2424668874172185,0.2663101151056449,5,0.8951986754966887
25,model_MF_with_weight,9.169653640128672e-05,0.6170529801324504,0.3494775955707208,9.169653640128672e-05,0.2434630242825607,0.26769374802901297,6,0.8690397350993377
26,model_MF_with_weight,9.241023508366197e-05,0.6193708609271523,0.35247571072512635,9.241023508366197e-05,0.24673013245033112,0.2706231604120677,7,0.8968543046357615
27,model_MF_with_weight,9.289798617828637e-05,0.6256622516556292,0.3561896480233717,9.289798617828637e-05,0.24915011037527593,0.27369698044780827,8,0.9162251655629139
28,model_MF_with_weight,9.323615086032078e-05,0.6259933774834437,0.35678024182433404,9.323615086032078e-05,0.25060154525386313,0.2742501051193104,9,0.8716887417218543
29,model_MF_with_weight,9.366063750348985e-05,0.6311258278145695,0.36096786906811656,9.366063750348985e-05,0.25405353200883,0.2782266372332598,10,0.8544701986754967
30,model_MF_with_weight,9.408761980012059e-05,0.6314569536423841,0.3610267984877827,9.408761980012059e-05,0.2537637969094923,0.2781474692526017,11,0.8908940397350993
31,model_MF_with_weight,9.434493404114619e-05,0.6302980132450331,0.35940298070637594,9.434493404114619e-05,0.2513796909492274,0.27636615683801113,12,0.8965231788079471
32,model_MF_with_weight,9.459442662773654e-05,0.6271523178807947,0.36072138549448246,9.459442662773654e-05,0.25458609271523175,0.27891168663933563,13,0.9013245033112582
33,model_MF_with_weight,9.482431050855666e-05,0.6316225165562914,0.36114007259917075,9.482431050855666e-05,0.25375275938189845,0.2781544991064859,14,0.9175496688741722
34,model_MF_with_weight,9.521152242086828e-05,0.6322847682119205,0.3620178391335647,9.521152242086828e-05,0.2556705298013245,0.27912737832439816,15,0.9
35,model_MF_with_weight,9.533220872981474e-05,0.6321192052980132,0.36428870971551336,9.533220872981474e-05,0.25860099337748343,0.282087341007043,16,0.8450331125827815
36,model_MF_with_weight,9.578055323800072e-05,0.6324503311258278,0.363427485537031,9.578055323800072e-05,0.25684878587196464,0.2808947624303585,17,0.8663907284768212
37,model_MF_with_weight,9.580308687873185e-05,0.6312913907284768,0.3614092392575089,9.580308687873185e-05,0.2549641280353201,0.2786633422684747,18,0.8597682119205298
38,model_MF_with_weight,9.611314453650266e-05,0.6304635761589404,0.3635927565027542,9.611314453650266e-05,0.25775938189845476,0.2817125906654052,19,0.8956953642384106
39,model_MF_with_weight,9.617810428608209e-05,0.6294701986754967,0.3608171554235076,9.617810428608209e-05,0.25403973509933775,0.2784158519920109,20,0.9013245033112582
