,alg,K,lambda,alpha,rmse,nDCG_10,MRR_10,nDCG_5,MRR_5,convergence_limit
0,als,20,0.002,,2.7999194660832063,0.7307297468122342,0.7803543234190107,0.7129684551510918,0.7803004595263345,0.02
1,als,20,0.003,,2.797412355364256,0.731246281760126,0.7824221919237827,0.7132774365829684,0.7823329798515377,0.02
2,als,10,0.002,,2.787932724335354,0.7319975146629749,0.7816339275193995,0.7135781897522671,0.781558854718982,0.02
3,als,10,0.003,,2.7832905649345303,0.7320068659255943,0.7807576293154236,0.7137228534532714,0.7807104984093319,0.02
4,als,5,0.002,,2.848015301262526,0.7285839463380424,0.7779223686646806,0.7093282458686371,0.7778331565924356,0.02
5,als,5,0.003,,2.849899857132529,0.7282862657297431,0.7770207375986804,0.7084684653205731,0.7769706610109578,0.02
